Company,Title,Technical Keywords,Nontechnical Keywords
"Capital One
",Principal Software Engineer-Remote Eligible,"['java', 'python', '', 'language', 'data', 'development', 'js', 'node.js', 'ui', 'design', 'r', 'software', 'engineering', 'product', 'engineer', 'programming', 'sql', 'cloud', 'bachelor', 'business', 'aws', 'database', 'agile']","['experience', 'year', 'degree', 'technical', 'work', 'team', 'including', 'building', 'technology', 'language', 'complex', 'service', 'new', 'test']"
Rave Business Systems LLC,Junior Android Developer,"['java', '', 'language', 'structure', 'development', 'r', 'computer', 'programming', 'coding', 'computer science']","['experience', 'year', 'work', 'including', 'science', 'language']"
AT&T,Senior-Software Engineer,"['', 'language', 'data', 'development', 'ui', 'design', 'r', 'software', 'engineering', 'computer', 'code', 'application', 'product', 'engineer', 'programming', 'bachelor', 'business', 'communication', 'testing', 'security', 'troubleshooting', 'computer science']","['experience', 'year', 'degree', 'equivalent', 'including', 'science', 'language', 'service', 'electrical', 'test']"
Federal Reserve Bank of Dallas,Software Engineer,"['', 'data', 'development', 'ui', 'design', 'analysis', 'storage', 'r', 'software', 'systems', 'code', 'application', 'product', 'models', 'business', 'architecture', 'testing', 'agile', 'coding']","['experience', 'year', 'degree', 'related', 'technical', 'equivalent', 'working', 'work', 'team', 'field', 'building', 'technology', 'using', 'strong', 'related field', 'understanding', 'new', 'test']"
Fairmont State University,Junior Programmer Analyst,"['', 'language', 'development', 'ui', 'design', 'analysis', 'r', 'engineering', 'systems', 'computer', 'application', 'engineer', 'bachelor', 'business', 'communication']","['degree', 'technical', 'working', 'work', 'ability', 'team', 'skill', 'language', 'service', 'new']"
MCKESSON,Associate Software Engineer,"['java', 'web', 'spring', '', 'object', 'oriented', 'language', 'data', 'structure', 'development', 'ui', 'design', 'management', 'r', 'software', 'engineering', 'computer', 'code', 'product', 'engineer', 'sql', 'bachelor', 'business', 'communication', 'testing', 'database', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'work', 'ability', 'team', 'including', 'management', 'knowledge', 'skill', 'field', 'project', 'science', 'using', 'language', 'complex', 'related field', 'service', 'new', 'test']"
"Osano, Inc., A Public Benefit Corporation",Software Engineer in Test,"['java', 'web', '', 'oriented', 'data', 'structure', 'development', 'html', 'css', 'ui', 'design', 'r', 'software', 'engineering', 'systems', 'code', 'product', 'engineer', 'testing', 'networking', 'javascript', 'software development']","['experience', 'year', 'technical', 'working', 'work', 'ability', 'team', 'including', 'building', 'using', 'developing', 'strong', 'high', 'new', 'test']"
BAE Systems,Junior Software Engineer,"['java', 'python', 'web', '', 'object', 'oriented', 'data', 'development', 'ui', 'design', 'analysis', 'management', 'r', 'software', 'engineering', 'systems', 'computer', 'code', 'application', 'engineer', 'programming', 'sql', 'bachelor', 'communication', 'testing', 'agile', 'algorithms', 'software development', 'computer science']","['experience', 'degree', 'related', 'working', 'work', 'team', 'management', 'knowledge', 'skill', 'field', 'science', 'using', 'strong', 'related field', 'service', 'understanding', 'high', 'test', 'problem solving']"
Comcast,Junior Scala Software Engineer,"['', 'ui', 'r', 'bachelor']","['experience', 'year', 'degree', 'related', 'work', 'ability', 'building', 'new']"
Publix,Software Engineer,"['python', 'web', '', 'data', 'development', 'ui', 'analysis', 'management', 'r', 'software', 'engineering', 'systems', 'computer', 'application', 'engineer', 'sql', 'bachelor', 'business', 'database', 'computer science']","['experience', 'year', 'degree', 'related', 'equivalent', 'working', 'work', 'team', 'management', 'knowledge', 'field', 'science', 'experience working', 'strong', 'distributed']"
"Canon Medical Informatics, Inc.",Senior Software Engineer,"['java', 'spring', 'c++', '', 'object', 'oriented', 'language', 'data', 'structure', 'development', 'js', 'node.js', 'ui', 'design', 'management', 'r', 'software', 'engineering', 'computer', 'code', 'product', 'engineer', 'bachelor', 'testing', 'aws', 'agile', 'troubleshooting', 'algorithms', 'javascript', 'object oriented', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'equivalent', 'work', 'team', 'management', 'skill', 'field', 'science', 'language', 'strong', 'complex', 'related field', 'new', 'test']"
Ford Motor Company,Software Test Engineer,"['', 'r', 'engineering', 'systems', 'computer', 'engineer', 'bachelor', 'computer science']","['experience', 'year', 'degree', 'related', 'working', 'work', 'knowledge', 'field', 'science', 'using', 'related field', 'electrical']"
OBMedia,Senior Software Engineer,"['java', 'python', '', 'data', 'js', 'vue', 'r', 'application', 'engineer', 'machine learning', 'aws', 'javascript']","['working', 'work', 'ability', 'team', 'project', 'technology', 'using', 'high', 'test']"
