,CATEGORY,COMPANY,TITLE,QUALIFICATIONS
20,Data Scientist/Data Analyst,Tela,"Software Data Engineering & Scientist Internship, IT Applications Engineering (Summer 2023)","Currently working towards Bachelor’s degree or higher in quantitative discipline (e.g. Statistics, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering) or the equivalent in experience and evidence of exceptional ability Excellent Software skills (proficiency in Python - Data Science stack) Strong DevOps skills Strong knowledge of data structures, architectures, and languages such as SQL Solid understanding of statistics Strong verbal and written communication skills Nice to have Experience with Machine Learning & time-series modeling PySpark and Big Data frameworks Familiarity with CI/CD Ability to code robust apps (potentially interfacing with data streams, etc.)"
21,Data Scientist/Data Analyst,Tela,Data Analyst,"Master’s degree in science or engineering or equivalent experience or evidence of exceptional ability 2+ years’ work experience in material planning, supply chain, manufacturing, or business operations Evidence of exceptional analytical ability Structured, data-driven and quantitative problem-solving approach Ability to query from large data set in SQL, analyze and present data Proven ability to set expectations, manage to deadlines and hold individuals and teams accountable to critical milestones Ability to drive strategic discussions and convert strategy to action Collaborative, flexible, open working style and an ability to establish trust and credibility Excellent communication and leadership skills Preferences Programming (R, Python, SQL) Experience creating dashboards using Tableau (or similar) visualization tools"
22,Data Scientist/Data Analyst,Tela,Sr.Data Analyst,"Bachelor’s Degree in Statistics, Finance, Supply Chain, Analytics, or Industrial Engineering (or relevant experience) Preferred: 2+ years work experience in finance, supply chain, operations, or inventory control/management Advanced skills using Excel, SQL, PowerBI, Tableau "
23,Data Scientist/Data Analyst,Tela,"Data Analyst, Fulfillment "," 3+ years working experience as a data analyst or business data analyst.· Technical expertise regarding data models, database design development, data mining and segmentation techniques.· Strong knowledge of and experience with reporting packages (Tableau, PowerBI, etc.), databases (SQL etc), programming (XML, Javascript, or ETL frameworks) an interactive dashboards.· Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)· Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy· Adept at queries, report writing and presenting findings.· Initiative to gain and implement a broad knowledge of warehousing and supply chain best practices.· BS in Mathematics, Economics, Computer Science, Information Management, Statistics or related field."
24,Data Scientist/Data Analyst,Tela,Sr Data Analyst ," Bachelor’s degree in Engineering, Mathematics, Computer Science, or related Strong proficiency in SQL, Python; Can write SQL queries (e.g. Microsoft SQL, Oracle, MySQL, PostgreSQL etc.) Firm grasp on advanced SQL aggregation functions, database performance concepts and query optimization techniques Demonstrated ability to provide insights and draw conclusions from dense datasets Strong proficiency in Microsoft Excel or other spreadsheet software Excellent interpersonal, communication and collaboration skills, and the ability to work in a highly cross-functional environment Self-motivated, fast learner capable of first principle thinking in an ever changing environment Detail oriented with strong record-keeping and organizational skills Preferred: Knowledge of energy generation systems and/or solar energy modeling 4+ years of business analytics or data management experience **Authorization to work in the US without sponsorship**"
25,Data Scientist/Data Analyst,Tela,Sr. Data Analyst,"Bachelor’s Degree in Statistics, Finance, Supply Chain, Analytics, or Industrial Engineering (or relevant experience) Preferred: 2+ years work experience in finance, supply chain, operations, or inventory control/management Advanced skills using Excel, SQL, PowerBI, Tableau"
26,Data Scientist/Data Analyst,Tela,Associate Data Analyst,"Evidence of exceptional ability, especially within an ambiguous environment 2-5 years of experience in analytics, program manager, or other structured training program Bachelor's Degree in Business, Engineering preferred or and/commensurate experience Demonstrated success driving tangible impact / influencing within a broader organization Ability to quickly grasp technical concepts at a detailed level, and synthesize implications Strong written and verbal communication skills, particularly with senior business leaders Excellent analytical skills (e.g., Microsoft Office applications, SQL, Tableau, etc.) Highly collaborative, team oriented, and comfortable leading cross-functional projects, especially those consisting of both technical and non-technical stakeholders "
27,Data Scientist/Data Analyst,Tela,Data Analyst- Field Reliability,"Strong SQL, comfortable writing queries, data processing scripts, and understanding RDBMS data structures Strong Python, especially in a data analytics/science capacity where pandas/numpy are used heavily Strong analytical skills and knowledge of applied statistics including predictive analytics, time series analysis and machine learning. Working knowledge of reliability statistics such as Weibull Analysis preferred Able to visualize data effectively Python (matplotlib/seaborn/plotly/etc.) Tableau (or, similar BI tools) Any opensource/freeware viz tools (e.g., D3, ggplot) Ability to quickly learn new technologies Exposure to ""big data"" technologies, particularly any part of a Spark, HBASE, Hadoop stack BS in Computer Science, Physics, Electrical Engineering, or proof of exceptional skills in related fields. "
28,Data Scientist/Data Analyst,Tela,"Data Analyst, Vision Automation","Bachelor’s or master’s degrees in a quantitative field, engineering discipline, or equivalent in industry experience Strong background in business analytics and/or data management experience Strong proficiency in SQL (Microsoft SQL, Oracle, MySQL, PostgreSQL, etc.) and Python Firm grasp on advanced SQL functions, database schema, query performance and optimization techniques Demonstrated ability in visualization software like Tableau, Grafana, Splunk, etc. Experience with web analytics tools (Google Analytics, etc.) and Splunk is a plus Demonstrated ability to provide insights and draw conclusions from dense datasets Strong proficiency in Microsoft Excel or other spreadsheet software Excellent interpersonal, communication and collaboration skills, and the ability to work in a highly cross-functional environment Detail oriented with strong record-keeping and organizational skills "
29,Data Scientist/Data Analyst,Tela,"Data Analyst, Battery Analytics","Bachelor’s degree in a quantitative field and/or equivalent experience or evidence of exceptional deductive ability Expert level proficiency in social analytics and listening toolsExperience using multiple Social Channel AnalyticExperience using data visualization tools (e.g. Tableau, Power BI) and web analyticsExperience in analyzing datasets in ExcelAbility to create high quality presentationsPerform advanced statistical analyses2+ years practical experience in a social media analytics and measurement role"
30,Data Scientist/Data Analyst,Tela,"Data Analyst, Channel Planning","Bachelor’s or Master’s degree in Data Analytics, Engineering or Computer Science fields, or relevant experience Minimum of 4 years of experience or Master +2 years of experience Proficient in MS Excel and R programming is required, Python, SQL, and data visualization programs such as Tableau are preferred. Highly proficient in automation and analytics Advanced Excel features like Power Queries and Power Pivots, ETL using My SQL and SQL Server Tableau dashboard creation Experience working with Data Frames and Arrays on programming languages such as Python and/or R, building prediction models using Time Series and Machine Learning Techniques as well making interactive visualizations on Python Excellent written and verbal communication, and comfortable communicating with Senior Management "
31,Data Scientist/Data Analyst,Tela,Data Engineer (Fleet Analytics),"Strong proficiency in Python, SQLStrong foundation in statisticsExperience building data visualizationsExperience writing software in a professional environmentStrong verbal and written communication skillsStrong problem-solving skills to help refine problem statements and figure out how to solve them with the available dataCurious and driven to solve complex problemsSmart but humble, with a bias for actionNice To HaveExperience with data science tools such as Pandas, Numpy, R, Matlab, OctaveExperience with complex hardware systemsExperience building data pipelinesExperience building web applicationsExperience building machine learning models in a professional environmentExperience with continuous integration and continuous developmentExperience in devops, i.e. Linux, Ansible, Docker, KubernetesUnderstanding of distributed computing, i.e. how HDFS, Spark and Presto workProficient in Scala"
32,Data Scientist/Data Analyst,Tela,Energy Fleet Data Analyst," Bachelor’s degree in Engineering - Computer Science or Data Engineering with experience working with hardware, Electrical or Mechanical Engineering with experience working with Data. Related degrees with relevant and applicable experience are also considered. Experience in creating information-dense dashboards that facilitate insight discovery and drive action. Experience with Tableau or dashboarding tools, preferably with certifications Experience using SQL and other database languages. Experience using Python to interact with databases. The use of pandas is a strong plus. Excellent written and verbal communication and presentation skills Possess strong planning, scheduling, and project management skills with the ability to plan and work independently Preferred Qualifications Experience working with renewable energy, batteries, power electronics, solar cells, and relevant performance tracking/monitoring analytics. Experience working in a data analytics role monitoring a large fleet of products Experience using Jira, Git, and other work management tools Intermediate proficiency with Microsoft Office products specifically Excel, VBA "
33,Data Scientist/Data Analyst,Tela,"Data Analyst, Field Reliability Group",Perform statistical analysis to quantify reliability risks in the field and identify emerging trendsCreate data visualizations to communicate analysis results and drive decision making Utilize vehicle fleet data for diagnostics and prognostics Perform correlation studies between manufacturing data and field performance to develop screening tests 
34,Data Scientist/Data Analyst,Tela,"Data Analyst, Energy Distribution Center"," 3+ years working experience as a data analyst or business data analyst.· Technical expertise regarding data models, database design development, data mining and segmentation techniques.· Strong knowledge of and experience with reporting packages (Tableau, PowerBI, etc.), databases (SQL etc), programming (XML, Javascript, or ETL frameworks) an interactive dashboards.· Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)· Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy· Adept at queries, report writing and presenting findings.· Initiative to gain and implement a broad knowledge of warehousing and supply chain best practices.· BS in Mathematics, Economics, Computer Science, Information Management, Statistics or related field."
35,Data Scientist/Data Analyst,Tela, Service Data Analyst Internship (Summer 2023),"• Currently working towards a degree in a relevant program such as Computer Science, Engineering (Electrical, Computer etc…), Data Analytics, Business Analytics / MBA with analytics focus or similar.• High proficiency in SQL and Python (particularly pandas).• Experience with creating dashboards or visual analytical presentations.• A bias for action and a passion for sustainable energy• Remain engaged, proactive, and positive while solving very challenging problemsDesired Competencies• Tableau certification or similar dashboarding certification.• Experience using Spark.• Experience creating and maintaining ETL’s and data pipelines.• Experience with Airflow."
36,Data Scientist/Data Analyst,Tela,"Data Engineer, Quality Data Analytics & Systems ","BS/MS in Management Information Systems, Computer Science, Math, Physics, Engineering, Statistics or another technical field. Equivalent experience also acceptable.3+ years of work experience in data analytics or engineering related fieldStrong knowledge of SQL and experience with multiple data architecture paradigms (MySQL, MicrosoftSQL, Vertica, Oracle, kafka, Spark)Proficient in python, text processing, and python data analysis packages (eg. pandas, numpy).Strong knowledge of data visualization techniques and tools using Tableau, Power BI, Superset, Matplotlib, Plotly etc.Strong understanding of various statistical techniques to effectively summarize data findings with strong knowledge of data warehousing concepts as well as data mining tools and techniques. Proficiency in using open-source ML toolkits (eg. Pytorch, Tensorflow) and building NLP applications. Strong ML and NLP fundamentals. Strong knowledge of manipulating big data with Apache Spark (Python or Scale APIs).Knowledge of manufacturing and service operations preferred.Able to work under pressure while collaborating with cross-functional teams and managing competing demands with tight deadlines.Excellent communication skills and ability to work with different business stakeholders to understand, identify, and translate business challenges into data projects.A passion and curiosity for data and data-driven decision making!"
37,Data Scientist/Data Analyst,Tela,"Sr Data Analyst, Sourcing Strategy and Analytics ","Bachelor’s or Master’s degree in Data Analytics, Industrial Engineering, Supply Chain or Operations Research fields or relevant experience.· Minimum of 2 years of experience or Masters with focus on Sourcing, MRP and fulfilment systems.· Proficient in Advanced MS Excel, SQL and R programming is required, Python and data visualization programs such as Tableau and PowerBi are preferred.· Highly proficient in automation and supply chain analytics.· Strong analytical, problem-solving, and conceptual skills including the ability to express complex technical concepts in business terms.· Excellent written and verbal communication, and comfortable communicating with Senior Management"
38,Data Scientist/Data Analyst,Tela,"Data Analyst/Engineer, Supply Chain Optimization Internship (Summer 2023)","Currently pursuing a bachelor’s or master’s degree in a relevant program including, but not limited to: Data Analytics, Data Science, Information Systems, Information Technology, Computer Science, or equivalent. Proficiency in SQL, and comfort with a scripting language (e.g., Python) is a plus. Proficiency with a data visualization tool (e.g., Tableau). A good understanding of relational databases and database engineering concepts. Familiarity with data pipelines and a Workflow Management Tool (e.g., Airflow) is desirable. Excellent written and verbal communication across technical and non-technical stakeholders. Eagerness to collaborate cross-functionally with other business and engineering teams, while able to work independently. Organized, detail-oriented, execution-focused, relentless and willing to find cracks in the system to expose problems. "
